"state_dt","stock_code","acc","recall","f1","acc_neg","bz","predict"
"2019-07-25","000063.SZ","0.5122","0.6562","0.5753","0.45","SVM","1"
"2019-07-25","000977.SZ","0.2727","0.1034","0.15","0.48","SVM","-1"
"2019-07-25","600536.SH","0.2857","0.069","0.1111","0.5","SVM","-1"
"2019-07-25","600588.SH","0.3846","0.3333","0.3571","0.4286","SVM","1"
"2019-07-25","600845.SH","0","0","0","0","SVM","-1"
"2019-07-26","000063.SZ","0.5122","0.6562","0.5753","0.45","SVM","1"
"2019-07-26","000977.SZ","0.3","0.1034","0.1538","0.4902","SVM","-1"
"2019-07-26","600536.SH","0.2857","0.069","0.1111","0.5","SVM","-1"
"2019-07-26","600588.SH","0.4074","0.3548","0.3793","0.4118","SVM","1"
"2019-07-26","600845.SH","0","0","0","0","SVM","-1"
"2019-07-29","000063.SZ","0.5122","0.6562","0.5753","0.45","SVM","1"
"2019-07-29","000977.SZ","0.3","0.1","0.15","0.4706","SVM","-1"
"2019-07-29","600536.SH","0.2857","0.069","0.1111","0.5","SVM","-1"
"2019-07-29","600588.SH","0.3929","0.3548","0.3729","0.3939","SVM","1"
"2019-07-29","600845.SH","0","0","0","0","SVM","-1"
"2019-07-30","000063.SZ","0.5122","0.6562","0.5753","0.45","SVM","1"
"2019-07-30","000977.SZ","0.3","0.0968","0.1463","0.451","SVM","-1"
"2019-07-30","600536.SH","0.2857","0.069","0.1111","0.5","SVM","-1"
"2019-07-30","600588.SH","0.4138","0.375","0.3934","0.375","SVM","1"
"2019-07-30","600845.SH","0","0","0","0","SVM","-1"
"2019-07-31","000063.SZ","0.5","0.6562","0.5676","0.45","SVM","1"
"2019-07-31","000977.SZ","0.3","0.0938","0.1429","0.4423","SVM","-1"
"2019-07-31","600536.SH","0.2857","0.069","0.1111","0.5091","SVM","-1"
"2019-07-31","600588.SH","0.4","0.375","0.3871","0.375","SVM","1"
"2019-07-31","600845.SH","0","0","0","0","SVM","-1"
