"state_dt","stock_code","close","open","high","low","vol","amount","p_change","pct_chg"
"2005-01-04","HS300","982.79","994.77","994.77","980.66","7412868","443197","-17.21","-1.72"
"2005-01-05","HS300","992.56","981.58","997.32","979.88","7119108","452920","9.77","0.99"
"2005-01-06","HS300","983.17","993.33","993.79","980.33","6288029","392101","-9.39","-0.95"
"2005-01-07","HS300","983.96","983.04","995.71","979.81","7298694","473746","0.78","0.08"
"2005-01-10","HS300","993.88","983.76","993.96","979.79","5791697","376293","9.92","1.01"
"2005-01-11","HS300","997.13","994.19","999.55","991.09","5849079","370407","3.26","0.33"
"2005-01-12","HS300","996.75","996.65","996.98","989.26","5014525","309329","-0.39","-0.04"
"2005-01-13","HS300","996.88","996.08","999.47","992.7","6044065","384217","0.13","0.01"
"2005-01-14","HS300","988.31","996.62","1006.46","987.23","7297842","416292","-8.57","-0.86"
"2005-01-17","HS300","967.45","979.11","981.52","965.08","7288188","424980","-20.85","-2.11"
"2005-01-18","HS300","974.69","967.37","974.87","960.29","7311847","411794","7.24","0.75"
"2005-01-19","HS300","967.21","974.33","974.33","965.26","6338091","342795","-7.48","-0.77"
"2005-01-20","HS300","956.25","963.21","963.21","952.23","7727106","439935","-10.96","-1.13"
"2005-01-21","HS300","982.6","954.46","984.27","943.44","14450059","815208","26.36","2.76"
"2005-01-24","HS300","998.13","1001.85","1001.85","986.24","14359461","836016","15.53","1.58"
"2005-01-25","HS300","997.77","995.64","997.95","985.24","9862529","615702","-0.36","-0.04"
"2005-01-26","HS300","989.93","995.78","999.47","988.48","7663290","471944","-7.85","-0.79"
"2005-01-27","HS300","974.63","987.34","987.7","973.77","6945364","409439","-15.3","-1.55"
"2005-01-28","HS300","969.21","974.63","975.62","965.21","5748807","328095","-5.42","-0.56"
"2005-01-31","HS300","954.88","965.78","965.78","953.14","6788706","386357","-14.33","-1.48"
"2005-02-01","HS300","955.95","953.33","965.48","952.74","7433066","427570","1.07","0.11"
"2005-02-02","HS300","1006.91","956.7","1006.93","956.7","17057338","1020290","50.96","5.33"
"2005-02-03","HS300","993.22","1005.56","1014.19","992.15","16974539","1005731","-13.7","-1.36"
"2005-02-04","HS300","1016.86","992.25","1021.02","989.94","15736214","954987","23.64","2.38"
"2005-02-16","HS300","1023.58","1023.32","1033.25","1018.49","12131293","743816","6.73","0.66"
"2005-02-17","HS300","1020.61","1024.43","1024.43","1010.48","8968297","551306","-2.98","-0.29"
"2005-02-18","HS300","1006.05","1020.12","1021.2","1005.63","8139939","481773","-14.55","-1.43"
"2005-02-21","HS300","1025.63","1006.69","1025.66","1006.69","9886094","605239","19.58","1.95"
"2005-02-22","HS300","1046.74","1026.84","1048.68","1024.53","17937842","1092277","21.11","2.06"
"2005-02-23","HS300","1043.94","1046.81","1049.61","1036.62","18696929","1123194","-2.8","-0.27"
"2005-02-24","HS300","1045.46","1042.25","1045.96","1034.73","14681788","899375","1.52","0.15"
"2005-02-25","HS300","1046.76","1046.27","1059.48","1045.98","18170003","1148996","1.3","0.12"
"2005-02-28","HS300","1039.99","1046.21","1048.28","1035.04","12971046","819010","-6.77","-0.65"
"2005-03-01","HS300","1035.93","1039.35","1042.74","1031.17","9962090","628879","-4.05","-0.39"
"2005-03-02","HS300","1021.32","1036.37","1045.76","1021","14225135","897130","-14.61","-1.41"
"2005-03-03","HS300","1027.71","1019.88","1028.4","1014.75","9203085","558281","6.39","0.63"
"2005-03-04","HS300","1023.67","1027.93","1031.85","1022.18","8173641","538386","-4.04","-0.39"
"2005-03-07","HS300","1029.87","1024.48","1031.34","1024.48","7932949","531647","6.2","0.61"
"2005-03-08","HS300","1048.99","1033.79","1049.29","1032.85","14295793","985127","19.12","1.86"
"2005-03-09","HS300","1046.54","1051.26","1054.64","1041.98","15327488","987762","-2.44","-0.23"
"2005-03-10","HS300","1022.41","1046.69","1046.69","1019.63","13295953","838054","-24.13","-2.31"
"2005-03-11","HS300","1027.43","1021.08","1028.12","1016.93","11476381","765455","5.02","0.49"
"2005-03-14","HS300","1031.03","1027.17","1041.57","1014.92","14466089","1022942","3.6","0.35"
"2005-03-15","HS300","1013.52","1030.86","1030.94","1011.64","12007492","809120","-17.5","-1.7"
"2005-03-16","HS300","1003.07","1011.85","1012.2","995.97","10622782","715374","-10.46","-1.03"
"2005-03-17","HS300","992.86","1001.97","1004.82","992.12","9969011","653506","-10.2","-1.02"
"2005-03-18","HS300","978.66","991.89","996.4","975.71","9652059","631499","-14.2","-1.43"
"2005-03-21","HS300","981.89","977.3","983.18","973","7252564","459451","3.23","0.33"
"2005-03-22","HS300","964.02","981.71","982.14","959.56","11375717","695530","-17.87","-1.82"
"2005-03-23","HS300","959.01","962.82","975.36","955.99","10930053","709205","-5.01","-0.52"
"2005-03-24","HS300","964.8","957.43","965.06","948.53","9260714","644664","5.79","0.6"
"2005-03-25","HS300","962.96","964.25","966.97","959.06","7107322","425812","-1.85","-0.19"
"2005-03-28","HS300","960.7","961.65","961.65","948.81","6669246","414165","-2.26","-0.23"
"2005-03-29","HS300","955.19","960.42","968.12","954.74","7577378","484215","-5.51","-0.57"
"2005-03-30","HS300","937.03","952.71","952.71","936.38","8950164","545937","-18.16","-1.9"
"2005-03-31","HS300","942.2","934.85","942.37","928.34","7859445","455532","5.17","0.55"
"2005-04-01","HS300","978.14","941.43","989.9","937.55","16347504","1010940","35.94","3.81"
"2005-04-04","HS300","962.17","968.49","974.06","956.13","11435093","729650","-15.98","-1.63"
"2005-04-05","HS300","955.6","960.54","967.75","953.59","9534536","606951","-6.57","-0.68"
"2005-04-06","HS300","973.67","955.6","977.86","948.95","14282421","972765","18.07","1.89"
"2005-04-07","HS300","984.73","975.97","1000.27","974.31","20754211","1326056","11.06","1.14"
"2005-04-08","HS300","1003.45","984.66","1003.7","979.53","14762526","915134","18.71","1.9"
"2005-04-11","HS300","995.42","1003.88","1008.74","992.77","15936066","1043623","-8.02","-0.8"
"2005-04-12","HS300","978.7","993.71","993.71","978.2","10226193","647956","-16.72","-1.68"
"2005-04-13","HS300","1000.9","987.95","1006.5","987.95","16071687","1002960","22.2","2.27"
"2005-04-14","HS300","986.98","1004.64","1006.42","985.58","12945710","781342","-13.93","-1.39"
"2005-04-15","HS300","974.08","982.61","982.61","971.93","10408955","654167","-12.89","-1.31"
"2005-04-18","HS300","963.77","970.91","970.91","958.65","8598400","532913","-10.31","-1.06"
"2005-04-19","HS300","965.89","962.92","968.87","957.91","9212623","576890","2.11","0.22"
"2005-04-20","HS300","950.87","964.15","964.15","946.2","8850705","530000","-15.02","-1.55"
"2005-04-21","HS300","943.98","948.86","955.55","938.6","9946145","614064","-6.89","-0.72"
"2005-04-22","HS300","939.1","942.91","947.91","934.96","10691884","637355","-4.88","-0.52"
"2005-04-25","HS300","930.07","935.99","935.99","920.16","11470478","666730","-9.03","-0.96"
