"state_dt","stock_code","open","close","high","low","vol","amount","pre_close","amt_change","pct_change","big_order_cntro","big_order_delt"
"2010-01-04","000063.SZ","45.04","45.4","45.5","44.21","117213","528042.38","44.87","0.53","1.18",,
"2010-01-04","000977.SZ","10.23","10.28","10.5","10.15","81576","84119.87","10.22","0.06","0.59",,
"2010-01-04","600536.SH","23.43","23.69","23.88","23.43","11671","27565.26","23.59","0.1","0.42",,
"2010-01-04","600588.SH","27.59","27.21","27.75","27.2","41700","114116.35","27.66","-0.45","-1.63",,
"2010-01-04","600845.SH","31.62","31.8","31.99","31.48","8409","26622.7","31.56","0.24","0.76",,
"2010-01-05","000063.SZ","45.47","46.25","46.68","44.93","147432","678664.5","45.4","0.85","1.87",,
"2010-01-05","000977.SZ","10.27","10.74","10.81","10.1","124989","131377.45","10.28","0.46","4.47",,
"2010-01-05","600536.SH","23.6","24.03","24.2","23.08","30424","72719.16","23.69","0.34","1.44",,
"2010-01-05","600588.SH","27","28.32","28.41","26.78","66648","183930.5","27.21","1.11","4.08",,
"2010-01-05","600845.SH","31.8","32.57","32.95","31.39","12185","39463.66","31.8","0.77","2.42",,
"2010-01-06","000063.SZ","46.3","45.3","46.58","45.2","104292","477835.19","46.25","-0.95","-2.05",,
"2010-01-06","000977.SZ","10.68","10.54","10.95","10.53","89048","95483.41","10.74","-0.2","-1.86",,
"2010-01-06","600536.SH","23.85","23.83","23.95","23.6","18543","44055.05","24.03","-0.2","-0.83",,
"2010-01-06","600588.SH","28.35","27.7","28.35","27.68","36324","101878.61","28.32","-0.62","-2.19",,
"2010-01-06","600845.SH","32.4","32.52","32.91","32.1","9563","31204.97","32.57","-0.05","-0.15",,
"2010-01-07","000063.SZ","45.21","43.21","45.24","42.73","186837","815641.69","45.3","-2.09","-4.61",,
"2010-01-07","000977.SZ","10.48","10.66","11.15","10.48","125697","136353.56","10.54","0.12","1.14",,
"2010-01-07","600536.SH","23.84","23.78","24.35","23.65","30470","73260.66","23.83","-0.05","-0.21",,
"2010-01-07","600588.SH","27.7","26.91","27.7","26.89","27389","74434.15","27.7","-0.79","-2.85",,
"2010-01-07","600845.SH","31.88","31.02","32.49","30.63","10745","33806.35","32.52","-1.5","-4.61",,
"2010-01-08","000063.SZ","43.2","43.39","43.98","42.51","137477","592013.81","43.21","0.18","0.42",,
"2010-01-08","000977.SZ","10.55","11.73","11.73","10.5","114385","130367.57","10.66","1.07","10.04",,
"2010-01-08","600536.SH","23.7","24.31","25.3","23.17","35651","86670.62","23.78","0.53","2.23",,
"2010-01-08","600588.SH","26.9","26.97","27.29","26.65","28208","75956.18","26.91","0.06","0.22",,
"2010-01-08","600845.SH","30.22","31.06","31.8","30.21","6381","19953.57","31.02","0.04","0.13",,
"2010-01-11","000063.SZ","44","43.5","44.98","42.7","138881","604897.5","43.39","0.11","0.25",,
"2010-01-11","600536.SH","24.51","26.34","26.48","23.98","121481","312144.25","24.31","2.03","8.35",,
"2010-01-11","600588.SH","27.01","28.03","28.23","26.78","54322","150367.56","26.97","1.06","3.93",,
"2010-01-11","600845.SH","30.78","31.96","32.22","30.77","11380","36287.27","31.06","0.9","2.9",,
"2010-01-12","000063.SZ","43.2","46.61","46.63","43.14","212282","967553.38","43.5","3.11","7.15",,
"2010-01-12","000977.SZ","12.38","12.9","12.9","12.17","291207","368824.97","11.73","1.17","9.97",,
"2010-01-12","600536.SH","26.05","25.74","26.48","25.6","57657","149619.09","26.34","-0.6","-2.28",,
"2010-01-12","600588.SH","27.75","28.34","28.96","27.75","55519","158143.08","28.03","0.31","1.11",,
"2010-01-12","600845.SH","32.11","33.02","33.19","31.6","13749","44963.65","31.96","1.06","3.32",,
"2010-01-13","000063.SZ","45.73","48.6","48.78","45.4","275383","1311473.75","46.61","1.99","4.27",,
"2010-01-13","000977.SZ","13","14.19","14.19","12.9","299131","410495.84","12.9","1.29","10",,
"2010-01-13","600588.SH","27.8","29.42","30.3","27.6","95649","282555.69","28.34","1.08","3.81",,
"2010-01-13","600845.SH","32.49","33.14","34.44","32.28","12867","43292.8","33.02","0.12","0.36",,
"2010-01-14","000063.SZ","48.49","48.25","48.97","47.85","150844","729296.88","48.6","-0.35","-0.72",,
"2010-01-14","000977.SZ","14.75","15.03","15.28","14.28","312939","460800.81","14.19","0.84","5.92",,
"2010-01-14","600536.SH","26.15","27.28","27.94","26.15","101660","276768.41","25.74","1.54","5.98",,
"2010-01-14","600588.SH","29.75","30.89","30.98","29.5","88076","269070.31","29.42","1.47","5",,
"2010-01-14","600845.SH","33.2","36.17","36.45","33.2","33596","120540.93","33.14","3.03","9.14",,
"2010-01-15","000063.SZ","48.2","47.3","48.6","46.8","84860","402046.75","48.25","-0.95","-1.97",,
"2010-01-15","600536.SH","27.27","27.03","27.55","26.66","39793","107331.18","27.28","-0.25","-0.92",,
"2010-01-15","600588.SH","30.82","30.1","30.82","29.89","35456","107007.36","30.89","-0.79","-2.56",,
"2010-01-15","600845.SH","35.7","36","36.45","35.5","11966","43021","36.17","-0.17","-0.47",,
"2010-01-18","000063.SZ","47","49.1","49.15","45.94","124143","593801.56","47.3","1.8","3.81",,
"2010-01-18","600536.SH","27.6","26.73","27.69","25.77","47897","127118.4","27.03","-0.3","-1.11",,
"2010-01-18","600588.SH","30.14","29.96","30.48","29.74","29916","89744.89","30.1","-0.14","-0.47",,
"2010-01-18","600845.SH","36","36.66","36.8","35.7","14413","52502.17","36","0.66","1.83",,
"2010-01-19","000063.SZ","48.8","47.5","49","47.5","101687","489753.81","49.1","-1.6","-3.26",,
"2010-01-19","600536.SH","26.87","27.23","27.44","26.2","59014","158989.36","26.73","0.5","1.87",,
"2010-01-19","600588.SH","30.01","29.7","30.15","28.9","47957","141396.59","29.96","-0.26","-0.87",,
"2010-01-19","600845.SH","36.6","36.56","37.66","36","17919","65965.8","36.66","-0.1","-0.27",,
"2010-01-20","000063.SZ","47.4","45.65","47.4","45.55","102677","478125.12","47.5","-1.85","-3.89",,
"2010-01-20","600536.SH","26.99","26.99","28.5","26.81","77271","213578.31","27.23","-0.24","-0.88",,
"2010-01-20","600588.SH","29.7","28.6","29.8","28.42","32288","93953.81","29.7","-1.1","-3.7",,
"2010-01-20","600845.SH","36.55","34.81","36.63","34.68","12067","42929.54","36.56","-1.75","-4.79",,
"2010-01-21","000063.SZ","45.76","45.65","46.11","44.6","75665","343798.62","45.65","0","0",,
"2010-01-21","600536.SH","26.82","26.16","27.1","26.03","25355","66914.46","26.99","-0.83","-3.08",,
"2010-01-21","600588.SH","28.8","28.62","29.2","28.3","30354","87122.94","28.6","0.02","0.07",,
"2010-01-21","600845.SH","34.8","35.22","35.46","33.8","7244","25194.38","34.81","0.41","1.18",,
"2010-01-22","000063.SZ","45","44.06","45.2","43.45","78030","345102.19","45.65","-1.59","-3.48",,
"2010-01-22","000977.SZ","13.91","13.53","14.65","13.53","239143","327977.22","15.03","-1.5","-9.98",,
"2010-01-22","600536.SH","25.88","24.53","25.88","23.69","32716","80733.85","26.16","-1.63","-6.23",,
"2010-01-22","600588.SH","28.18","27.14","28.54","26","50072","137323.23","28.62","-1.48","-5.17",,
"2010-01-22","600845.SH","34.85","35.7","36.4","34.2","13731","48863.08","35.22","0.48","1.36",,
"2010-01-25","000063.SZ","44","44.03","45.25","43.71","74275","331897.97","44.06","-0.03","-0.07",,
"2010-01-25","000977.SZ","13.54","13.4","13.76","13.2","156186","211078.47","13.53","-0.13","-0.96",,
"2010-01-25","600588.SH","26.78","26.88","27.4","26.3","27926","75608.57","27.14","-0.26","-0.96",,
"2010-01-25","600845.SH","35.77","33.89","35.9","33.81","7742","26797.1","35.7","-1.81","-5.07",,
"2010-01-26","000063.SZ","44.01","43.86","44.19","42.58","89342","386645.88","44.03","-0.17","-0.39",,
"2010-01-26","000977.SZ","13.33","13.05","13.58","12.68","183117","239669.81","13.4","-0.35","-2.61",,
"2010-01-26","600536.SH","24.52","22.82","24.52","22.66","23616","55091.68","24.53","-1.71","-6.97",,
"2010-01-26","600588.SH","26.61","26.08","27.68","25.41","43888","115426.37","26.88","-0.8","-2.98",,
"2010-01-26","600845.SH","34","32.7","34.1","32.12","7200","23754.52","33.89","-1.19","-3.51",,
"2010-01-27","000063.SZ","43.78","43.4","44.55","42.95","95860","417491.62","43.86","-0.46","-1.05",,
"2010-01-27","000977.SZ","13.05","12.7","13.49","12.7","169612","222285.56","13.05","-0.35","-2.68",,
"2010-01-27","600536.SH","22.82","22.35","23.36","22","17459","39649.04","22.82","-0.47","-2.06",,
"2010-01-27","600588.SH","26.09","26.64","27.4","25.68","46637","124910.51","26.08","0.56","2.15",,
"2010-01-27","600845.SH","33.2","33.19","33.87","32.72","11384","37714.25","32.7","0.49","1.5",,
"2010-01-28","000063.SZ","43.6","43.2","43.9","42.99","44529","193622.41","43.4","-0.2","-0.46",,
"2010-01-28","000977.SZ","12.45","12.99","13.04","12.33","147959","188512.78","12.7","0.29","2.28",,
"2010-01-28","600536.SH","22.01","23.13","23.19","22.01","16987","38274.01","22.35","0.78","3.49",,
"2010-01-28","600588.SH","27.2","27.66","27.81","27.12","39306","108107.76","26.64","1.02","3.83",,
"2010-01-28","600845.SH","32.5","34.85","34.95","32.5","8952","30455.1","33.19","1.66","5",,
"2010-01-29","000063.SZ","43.09","43.43","44.3","42.86","86082","377469.75","43.2","0.23","0.53",,
"2010-01-29","000977.SZ","12.7","14.29","14.29","12.63","211472","291175.62","12.99","1.3","10.01",,
"2010-01-29","600536.SH","22.77","23.29","23.98","22.59","23276","54637.16","23.13","0.16","0.69",,
"2010-01-29","600588.SH","27.3","27.85","28.19","27.2","31548","87801.75","27.66","0.19","0.69",,
"2010-01-29","600845.SH","34.79","34.71","35.4","34.3","5499","19149.39","34.85","-0.14","-0.4",,
"2010-02-01","000063.SZ","43.64","42.1","44.29","40.95","158430","662808.44","43.43","-1.33","-3.06",,
"2010-02-01","000977.SZ","14.2","12.98","14.29","12.9","288845","394191.56","14.29","-1.31","-9.17",,
"2010-02-01","600536.SH","23.6","22.71","23.6","22.28","23768","53724.62","23.29","-0.58","-2.49",,
"2010-02-01","600588.SH","27.77","28.64","28.9","27.5","48993","139678.55","27.85","0.79","2.84",,
"2010-02-01","600845.SH","34.69","34.05","34.69","33.5","5502","18671.73","34.71","-0.66","-1.9",,
"2010-02-02","000063.SZ","42.1","41.3","43.01","41.14","102216","430973.16","42.1","-0.8","-1.9",,
"2010-02-02","000977.SZ","12.62","12.93","13.55","12.62","203652","266467.84","12.98","-0.05","-0.39",,
"2010-02-02","600536.SH","22.71","23.08","23.46","22.71","18112","42001.5","22.71","0.37","1.63",,
"2010-02-02","600588.SH","28.66","27.69","29.09","27.4","36553","102979.15","28.64","-0.95","-3.32",,
"2010-02-02","600845.SH","34.05","33.33","35","33.01","6986","23952.36","34.05","-0.72","-2.11",,
"2010-02-03","000063.SZ","41.16","42.2","42.69","40.68","88947","370844.38","41.3","0.9","2.18",,
"2010-02-03","000977.SZ","13.02","13.3","13.3","12.08","164146","210227.2","12.93","0.37","2.86",,
"2010-02-03","600536.SH","23.45","24.09","24.52","23.3","26919","64315.07","23.08","1.01","4.38",,
"2010-02-03","600588.SH","27.55","27.39","28.08","26.65","24421","66501.74","27.69","-0.3","-1.08",,
"2010-02-03","600845.SH","33.12","32.96","33.78","31.18","6784","21892.64","33.33","-0.37","-1.11",,
"2010-02-04","000063.SZ","42.05","43","43.1","41.71","80439","344228.75","42.2","0.8","1.9",,
"2010-02-04","000977.SZ","13.3","14.63","14.63","13.12","281482","405727.84","13.3","1.33","10",,
"2010-02-04","600536.SH","24.11","24.81","25.53","24.11","36698","91362.66","24.09","0.72","2.99",,
"2010-02-04","600588.SH","27.41","27.64","28.46","27.41","22119","61738.64","27.39","0.25","0.91",,
"2010-02-04","600845.SH","33.39","33.43","34.18","32.75","6308","21245.3","32.96","0.47","1.43",,
"2010-02-05","000063.SZ","42.3","42.7","43.08","42","80173","341487.22","43","-0.3","-0.7",,
"2010-02-05","000977.SZ","14.33","15.15","15.99","14.06","353622","540365.62","14.63","0.52","3.55",,
"2010-02-05","600536.SH","24.4","25.2","25.48","23.86","34092","84932.2","24.81","0.39","1.57",,
"2010-02-05","600588.SH","27.34","26.87","27.59","26.86","14974","40556.01","27.64","-0.77","-2.79",,
"2010-02-05","600845.SH","33","32.33","33","31.88","5114","16510.47","33.43","-1.1","-3.29",,
"2010-02-08","000063.SZ","42.7","43","43.54","42.22","52940","227535.19","42.7","0.3","0.7",,
"2010-02-08","000977.SZ","14.7","14.52","14.99","13.89","162187","233587.97","15.15","-0.63","-4.16",,
"2010-02-08","600536.SH","25.1","24.86","25.5","24.8","15475","38762.32","25.2","-0.34","-1.35",,
"2010-02-08","600588.SH","26.86","26.31","27.01","26","11801","31276.65","26.87","-0.56","-2.08",,
"2010-02-08","600845.SH","31.46","32","32.59","31.46","2770","8865.65","32.33","-0.33","-1.02",,
"2010-02-09","000063.SZ","42.67","42.41","42.95","41.9","49250","209305.2","43","-0.59","-1.37",,
